trade_id,timestamp,ticker,side,quantity,entry_price,exit_price,exit_timestamp,pnl,pnl_pct,fair_value,mispricing,signal_strength,orderbook_imbalance,score_differential,win_probability
1,1769573085.179732,KXNBAGAME-26JAN27LACUTA-UTA,buy,2,0.365,0.39,1769573143.7932112,0.050000000000000044,6.849315068493158,0.356244512035202,-0.00875548796479797,0.04306060347011333,0.0,4,0.8974546077471586
2,1769573152.1170945,KXNBAGAME-26JAN27LACUTA-UTA,buy,2,0.385,0.365,1769573154.1975956,-0.040000000000000036,-5.194805194805199,0.3786131302863609,-0.0063868697136391095,0.01154454403992886,0.0,6,0.8998749440694513
3,1769573156.289464,KXNBAGAME-26JAN27LACUTA-UTA,sell,2,0.355,0.355,1769573158.3705673,0.0,0.0,0.36211671581195315,0.007116715811953167,0.008397946662312068,0.0,6,0.8998749440694513
4,1769573160.4508476,KXNBAGAME-26JAN27LACUTA-UTA,sell,2,0.355,0.355,1769573162.531848,0.0,0.0,0.3503995187899106,-0.00460048121008938,0.007105201126576102,0.0,6,0.8998749440694513
5,1769573164.6117296,KXNBAGAME-26JAN27LACUTA-UTA,sell,2,0.355,0.355,1769573166.6974018,0.0,0.0,0.34512311746942737,-0.009876882530572617,0.006993337702239987,0.0,6,0.8998749440694513
6,1769573168.7792013,KXNBAGAME-26JAN27LACUTA-UTA,sell,2,0.355,0.355,1769573170.8583794,0.0,0.0,0.34380603356743233,-0.011193966432567648,0.007190038731702543,0.0,6,0.8998749440694513
7,1769573186.3248608,KXNBAGAME-26JAN27LACUTA-UTA,buy,2,0.375,0.38,1769573194.658718,0.010000000000000009,1.3333333333333344,0.36285644500102676,-0.012143554998973238,0.007862892157372207,0.0,3,0.8900658044876739
8,1769573200.9001954,KXNBAGAME-26JAN27LACUTA-UTA,buy,2,0.375,0.36,1769573207.1422372,-0.030000000000000027,-4.0000000000000036,0.37571171863246955,0.000711718632469549,0.005971324785626851,0.0,3,0.8903184209937105
9,1769573225.9470236,KXNBAGAME-26JAN27LACUTA-UTA,buy,2,0.38,0.385,1769573228.032183,0.010000000000000009,1.3157894736842117,0.37213113218279603,-0.007868867817203973,0.004075830050543577,0.0,4,0.8978369564806827
10,1769573240.5200305,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.355,0.345,1769573248.8432357,0.010000000000000009,2.8169014084507067,0.37236124305113816,0.017361243051138175,0.0018813364298639905,0.0,5,0.8995198847588532
11,1769573257.16753,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.345,0.33,1769573261.3260458,0.014999999999999958,4.34782608695651,0.33761189306092515,-0.007388106939074823,0.0005134804064882968,0.0,2,0.858651750226913
12,1769573263.4067857,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.335,0.325,1769573267.570834,0.010000000000000009,2.985074626865674,0.33133561533920275,-0.0036643846607972708,0.0007044509083423427,0.0,2,0.858651750226913
13,1769573271.7324467,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.305,0.295,1769573277.9530613,0.010000000000000009,3.2786885245901667,0.31082750798546627,0.005827507985466274,-0.0009354555451474649,0.0,2,0.8600664055672046
14,1769573280.029845,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.295,0.29000000000000004,1769573284.2766469,0.004999999999999949,1.6949152542372707,0.2933118680297132,-0.001688131970286777,-0.0007641500900263091,0.0,2,0.8605276169244093
15,1769573286.3598173,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.305,0.295,1769573332.1672568,0.010000000000000009,3.2786885245901667,0.29240969908433845,-0.012590300915661545,0.0008806918643549192,0.0,0,0.45
16,1769573346.7044125,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.28500000000000003,0.26,1769573357.0877001,0.025000000000000022,8.77192982456141,0.2995047161292774,0.014504716129277395,0.001558490184827659,0.0,0,0.45
17,1769573359.168587,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.26,0.255,1769573371.6444628,0.0050000000000000044,1.9230769230769247,0.25791529751388576,-0.002084702486114254,-0.0022129796581681033,0.0,0,0.45
18,1769573382.063106,KXNBAGAME-26JAN27LACUTA-UTA,buy,2,0.275,0.31,1769573390.3386383,0.06999999999999995,12.727272727272718,0.2677883925048567,-0.007211607495143324,0.0026974392040650204,0.0,-2,0.03524915051708792
19,1769573394.5015657,KXNBAGAME-26JAN27LACUTA-UTA,buy,2,0.305,0.31,1769573423.5763898,0.010000000000000009,1.6393442622950833,0.30910014105915584,0.0041001410591558485,0.0036807573228884527,0.0,1,0.748816546620532
20,1769574520.1134882,KXNBAGAME-26JAN27LACUTA-UTA,buy,1,0.325,0.305,1769574530.4988008,-0.020000000000000018,-6.153846153846159,0.3151940913936638,-0.009805908606336233,0.002737325080789935,0.0,1,0.7935052247575894
21,1769574534.65311,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.275,0.295,1769574551.264985,-0.019999999999999962,-7.272727272727258,0.29928691963285,0.024286919632849957,-0.0014263506929172393,0.0,1,0.7935052247575894
22,1769574553.3443127,KXNBAGAME-26JAN27LACUTA-UTA,buy,1,0.295,0.275,1769574570.1502006,-0.019999999999999962,-6.77966101694914,0.28539403157500187,-0.009605968424998113,0.0020357096242606346,0.0,-1,0.1542386034881068
23,1769574617.7980726,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.255,0.245,1769574624.0144596,0.010000000000000009,3.921568627450984,0.2603734758834131,0.005373475883413081,-0.0005135593633563847,0.0,-3,0.02
24,1769574626.0855904,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.25,0.245,1769574642.6758518,0.0050000000000000044,2.0000000000000018,0.2497447000503877,-0.0002552999496122921,-0.0009635781844921889,0.0,-3,0.02
25,1769574659.2406993,KXNBAGAME-26JAN27LACUTA-UTA,buy,1,0.265,0.27,1769574675.8200655,0.0050000000000000044,1.8867924528301903,0.2583675519616056,-0.006632448038394412,0.0011770842612185504,0.0,-1,0.14536867232964146
26,1769574694.5321987,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.255,0.25,1769574711.1086323,0.0050000000000000044,1.960784313725492,0.25445828174742297,-0.0005417182525770392,-0.000760990438777995,0.0,-1,0.14451570045369375
27,1769574748.400621,KXNBAGAME-26JAN27LACUTA-UTA,buy,1,0.26,0.245,1769574750.4726293,-0.015000000000000013,-5.7692307692307745,0.2535630141149474,-0.006436985885052593,0.0013773530236981448,0.0,-2,0.029378335001983624
28,1769574752.5457304,KXNBAGAME-26JAN27LACUTA-UTA,buy,1,0.26,0.265,1769574764.9790041,0.0050000000000000044,1.9230769230769247,0.25451838813141925,-0.00548161186858076,0.001076045342754568,0.0,-2,0.029378335001983624
29,1769574769.1246367,KXNBAGAME-26JAN27LACUTA-UTA,buy,1,0.275,0.28,1769574773.266088,0.0050000000000000044,1.8181818181818195,0.2660835826362559,-0.0089164173637441,0.0015675762602053206,0.0,-2,0.028645921558010497
30,1769574775.437803,KXNBAGAME-26JAN27LACUTA-UTA,buy,1,0.28,0.265,1769574777.5099132,-0.015000000000000013,-5.357142857142862,0.2771808929908188,-0.0028191070091812542,0.0020728975232595275,0.0,-2,0.028645921558010497
31,1769574787.8746655,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.245,0.185,1769574814.9150321,0.06,24.489795918367346,0.25627462217434194,0.011274622174341942,-0.0020173722074311082,0.0,-2,0.02807275801723875
32,1769574816.9891422,KXNBAGAME-26JAN27LACUTA-UTA,sell,4,0.185,0.175,1769574819.0616245,0.040000000000000036,5.405405405405411,0.18376483441060873,-0.0012351655893912683,-0.004352755597704702,0.0,-7,0.02
33,1769574821.1351943,KXNBAGAME-26JAN27LACUTA-UTA,sell,4,0.175,0.20500000000000002,1769574833.6016047,-0.1200000000000001,-17.14285714285716,0.17411034986422202,-0.000889650135777964,-0.0036623499837976892,0.0,-7,0.02
34,1769574835.6750407,KXNBAGAME-26JAN27LACUTA-UTA,buy,2,0.21000000000000002,0.22999999999999998,1769574846.029586,0.039999999999999925,9.523809523809506,0.18976039646305332,-0.020239603536946704,0.0021439965921581693,0.0,-7,0.02
35,1769574848.1140075,KXNBAGAME-26JAN27LACUTA-UTA,buy,3,0.22,0.195,1769574852.2555177,-0.07499999999999998,-11.36363636363636,0.23509333132855606,0.015093331328556059,0.0035756031807954326,0.0,-4,0.02
36,1769574854.3245287,KXNBAGAME-26JAN27LACUTA-UTA,sell,1,0.195,0.20500000000000002,1769574870.927658,-0.010000000000000009,-5.128205128205133,0.21532578112092815,0.020325781120928144,-0.0012409167838605786,0.0,-4,0.02
37,1769574899.938464,KXNBAGAME-26JAN27LACUTA-UTA,buy,1,0.20500000000000002,0.195,1769574952.9014752,-0.010000000000000009,-4.878048780487808,0.20220914068855356,-0.0027908593114464586,0.0005390475675278821,0.0,-6,0.02
